Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y,Date,Time,Time_in_Seconds,Cluster
OTHER OFFENSES,VIOLATION OF MUNICIPAL POLICE CODE,Saturday,CENTRAL,"ARREST, CITED",300 Block of BATTERY ST,-122.40021603879,37.7948030325182,2010-04-10,19:40:00,70800,3
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,CENTRAL,"ARREST, BOOKED",POST ST / LEAVENWORTH ST,-122.414996719999,37.7874530734235,2003-05-29,22:43:00,81780,3
STOLEN PROPERTY,RECEIVING STOLEN PROPERTY,Monday,SOUTHERN,"ARREST, BOOKED",300 Block of 10TH ST,-122.411636621857,37.77178693506389,2009-01-19,23:50:00,85800,3
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,CENTRAL,PSYCHOPATHIC CASE,1000 Block of CALIFORNIA ST,-122.412075501697,37.7916201314541,2013-02-06,14:30:00,52200,3
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,INGLESIDE,"ARREST, CITED",MISSION ST / RANDALL ST,-122.42358068715,37.7398849565957,2011-01-28,13:45:00,49500,0
OTHER OFFENSES,OBSCENE PHONE CALLS(S),Wednesday,CENTRAL,NONE,300 Block of SACRAMENTO ST,-122.399581796572,37.7942621172345,2006-04-19,02:00:00,7200,2
LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Friday,SOUTHERN,"ARREST, BOOKED",400 Block of 10TH ST,-122.410541166987,37.7709130566165,2003-11-28,10:15:00,36900,2
DRUG/NARCOTIC,POSSESSION OF HEROIN,Thursday,TENDERLOIN,"ARREST, BOOKED",0 Block of GOLDEN GATE AV,-122.41126513685,37.78213926815221,2013-01-24,09:52:00,35520,2
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Friday,INGLESIDE,NONE,1400 Block of GUERRERO ST,-122.422290069741,37.7476068051298,2011-02-25,00:01:00,60,2
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,NORTHERN,NONE,1600 Block of PINE ST,-122.422984865337,37.7893598360149,2008-10-28,00:01:00,60,2
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,CENTRAL,NONE,CALIFORNIA ST / HYDE ST,-122.417392830334,37.7909741243591,2009-10-14,14:44:00,53040,3
OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,Saturday,NORTHERN,NONE,1700 Block of CHESTNUT ST,-122.432139317398,37.8012840767444,2014-10-04,00:01:00,60,2
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,MISSION,NONE,4500 Block of 19TH ST,-122.440463403709,37.7589809039288,2015-01-25,19:31:00,70260,1
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Tuesday,INGLESIDE,NONE,400 Block of JUSTIN DR,-122.424273227932,37.732189316734704,2004-12-21,14:29:00,52140,0
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,INGLESIDE,NONE,ITALY AV / VIENNA ST,-122.433929587049,37.7158061307059,2006-10-22,13:00:00,46800,0
VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,TARAVAL,NONE,2100 Block of OCEAN AV,-122.466303929469,37.7270739477073,2013-09-18,23:30:00,84600,1
VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,PARK,NONE,14TH ST / ROOSEVELT WY,-122.437299386042,37.7672202159615,2004-07-21,18:00:00,64800,1
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,TENDERLOIN,NONE,HYDE ST / FULTON ST,-122.415127837615,37.7797870676266,2004-07-24,00:01:00,60,2
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Saturday,CENTRAL,"ARREST, BOOKED",JONES ST / BAY ST,-122.416891536622,37.8052112316081,2007-01-27,23:56:00,86160,3
SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Friday,CENTRAL,NONE,JONES ST / SUTTER ST,-122.4135447894,37.7885973839627,2012-12-28,12:36:00,45360,3
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Friday,SOUTHERN,NONE,100 Block of STEUART ST,-122.392349764257,37.7926450897756,2003-02-07,19:05:00,68700,3
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,INGLESIDE,NONE,PERSIA AV / LISBON ST,-122.433606605289,37.722000312499,2009-11-13,00:01:00,60,2
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,CENTRAL,NONE,WASHINGTON ST / THE EMBARCADERONORTH ST,-122.395329662983,37.7966652983014,2015-01-22,16:58:00,61080,3
VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,TARAVAL,NONE,1100 Block of CAPITOL AV,-122.459138010318,37.7227625208891,2006-06-29,21:00:00,75600,1
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,NORTHERN,NONE,600 Block of IVY ST,-122.428843736372,37.7766686812918,2004-05-13,16:40:00,60000,3
OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,TENDERLOIN,"ARREST, CITED",HYDE ST / TURK ST,-122.415694922141,37.7825851968238,2003-08-20,03:20:00,12000,2
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Friday,SOUTHERN,NONE,400 Block of HOWARD ST,-122.395552481056,37.7888397002774,2013-09-06,08:00:00,28800,2
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,SOUTHERN,NONE,300 Block of 11TH ST,-122.413287527194,37.7711962032376,2012-11-30,22:00:00,79200,3
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,INGLESIDE,NONE,GIRARD ST / HARKNESS AV,-122.400621399929,37.717776688808605,2014-10-01,02:00:00,7200,0
SUSPICIOUS OCC,SUSPICIOUS PERSON,Wednesday,TENDERLOIN,NONE,0 Block of POWELL ST,-122.407845374111,37.7850943210103,2009-02-18,14:50:00,53400,3
OTHER OFFENSES,MISCELLANEOUS STATE MISDEMEANOR,Wednesday,CENTRAL,"ARREST, CITED",BUSH ST / LARKIN ST,-122.418658294837,37.78890983991921,2004-02-18,21:00:00,75600,3
LARCENY/THEFT,GRAND THEFT PICKPOCKET,Saturday,CENTRAL,NONE,2800 Block of TAYLOR ST,-122.415923448242,37.8085905137102,2004-08-21,12:00:00,43200,3
NON-CRIMINAL,LOCATED PROPERTY,Wednesday,PARK,NONE,800 Block of PAGE ST,-122.434747874831,37.7724629059347,2004-03-31,12:00:00,43200,1
VEHICLE THEFT,STOLEN TRUCK,Saturday,MISSION,NONE,100 Block of SHOTWELL ST,-122.416397509503,37.766049241592704,2004-04-17,19:15:00,69300,3
OTHER OFFENSES,PAROLE VIOLATION,Wednesday,TENDERLOIN,"ARREST, BOOKED",TURK ST / TAYLOR ST,-122.41076876635,37.7832145189783,2005-10-19,15:24:00,55440,3
ASSAULT,BATTERY,Monday,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.406520987144,37.7850629421661,2008-05-26,09:05:00,32700,2
NON-CRIMINAL,FOUND PROPERTY,Friday,MISSION,NONE,18TH ST / CHURCH ST,-122.428355366652,37.7612577113414,2012-04-06,22:45:00,81900,1
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Monday,SOUTHERN,"ARREST, BOOKED",1900 Block of MARKET ST,-122.425669041358,37.7702451976438,2005-10-17,20:10:00,72600,3
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,NORTHERN,NONE,1400 Block of FILLMORE ST,-122.432544280591,37.7828388666355,2005-01-12,14:39:00,52740,3
LARCENY/THEFT,GRAND THEFT FROM PERSON,Wednesday,TENDERLOIN,NONE,0 Block of MCALLISTER ST,-122.412596970637,37.7811192121542,2014-12-10,00:01:00,60,2
ASSAULT,INFLICT INJURY ON COHABITEE,Friday,SOUTHERN,NONE,700 Block of TEHAMA ST,-122.411814467067,37.7751286438667,2014-11-14,02:30:00,9000,2
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,CENTRAL,"ARREST, CITED",COLUMBUS AV / BROADWAY ST,-122.406669739951,37.7978641744394,2012-08-24,00:51:00,3060,2
NON-CRIMINAL,"CIVIL SIDEWALKS, CITATION",Monday,PARK,"ARREST, CITED",HAIGHT ST / MASONIC AV,-122.4453467866,37.7702081959172,2013-02-18,17:46:00,63960,1
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Monday,MISSION,NONE,1000 Block of POTRERO AV,-122.406539115148,37.7564864109309,2014-11-24,08:40:00,31200,0
VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Saturday,CENTRAL,NONE,400 Block of DAVIS CT,-122.398187664281,37.7967148853927,2005-02-26,12:00:00,43200,3
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,NORTHERN,NONE,700 Block of GOLDEN GATE AV,-122.42291369529,37.7806600950548,2009-04-28,14:00:00,50400,3
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,SOUTHERN,NONE,500 Block of 2ND ST,-122.39267083933,37.7823985353293,2012-08-25,13:30:00,48600,3
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Saturday,RICHMOND,NONE,300 Block of 12TH AV,-122.470849239209,37.7816664570033,2004-06-12,13:00:00,46800,1
ROBBERY,ROBBERY ON THE STREET WITH A DANGEROUS WEAPON,Saturday,SOUTHERN,"ARREST, BOOKED",0 Block of 6TH ST,-122.409011206639,37.7811340568243,2003-10-18,17:00:00,61200,3
NON-CRIMINAL,AIDED CASE -PROPERTY FOR DESTRUCTION,Monday,INGLESIDE,NONE,0 Block of SGTJOHNVYOUNG LN,-122.444707063455,37.7249307267936,2015-01-05,09:50:00,35400,1
ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Tuesday,TENDERLOIN,NONE,0 Block of ELLIS ST,-122.406852525575,37.7856720367472,2013-06-11,19:00:00,68400,3
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE,4TH ST / HARRISON ST,-122.399617558782,37.78079065500671,2014-04-06,10:30:00,37800,2
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,TENDERLOIN,"ARREST, BOOKED",0 Block of TURK ST,-122.409853729941,37.7833862379382,2007-12-02,12:31:00,45060,3
NON-CRIMINAL,LOST PROPERTY,Wednesday,MISSION,NONE,3300 Block of 17TH ST,-122.421087244049,37.763392442414,2003-01-08,19:00:00,68400,3
NON-CRIMINAL,FOUND PROPERTY,Wednesday,TENDERLOIN,UNFOUNDED,FULTON ST / HYDE ST,-122.415127837615,37.7797870676266,2005-09-07,13:33:00,48780,3
NON-CRIMINAL,LOST PROPERTY,Saturday,CENTRAL,NONE,300 Block of COLUMBUS AV,-122.407521730924,37.7983830790911,2004-06-26,21:30:00,77400,3
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,SOUTHERN,NONE,1000 Block of FOLSOM ST,-122.40764532532,37.7769790129819,2006-09-18,03:00:00,10800,2
NON-CRIMINAL,FOUND PROPERTY,Saturday,SOUTHERN,NONE,CLARA ST / 4TH ST,-122.400154573958,37.7812187583196,2012-09-22,23:40:00,85200,3
MISSING PERSON,MISSING JUVENILE,Monday,MISSION,LOCATED,3900 Block of 18TH ST,-122.43169957972,37.7610323441172,2007-06-11,18:00:00,64800,1
VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Wednesday,NORTHERN,NONE,MARKET ST / LAGUNA ST,-122.424854040266,37.7707478792642,2005-11-30,19:00:00,68400,3
LARCENY/THEFT,GRAND THEFT FROM PERSON,Tuesday,TENDERLOIN,"ARREST, CITED",EDDY ST / JONES ST,-122.412597377187,37.783932027727296,2008-11-11,18:42:00,67320,3
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,INGLESIDE,NONE,0 Block of NAVAJO AV,-122.443971583062,37.720018536675,2012-04-04,20:30:00,73800,1
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,TENDERLOIN,"ARREST, BOOKED",300 Block of ELLIS ST,-122.411987643595,37.7850226622786,2009-03-18,08:57:00,32220,2
TRESPASS,TRESPASSING,Saturday,MISSION,"ARREST, CITED",3000 Block of 16TH ST,-122.420070483636,37.7649720006151,2012-01-14,11:50:00,42600,3
ASSAULT,BATTERY,Monday,MISSION,"ARREST, CITED",200 Block of DOLORES ST,-122.426280131112,37.7652088066132,2006-10-02,10:09:00,36540,2
ROBBERY,ROBBERY ON THE STREET WITH A GUN,Sunday,BAYVIEW,NONE,1700 Block of CESAR CHAVEZ ST,-122.39434785768,37.7499131969111,2006-12-17,22:46:00,81960,0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,BAYVIEW,NONE,DORMAN AV / BARNEVELD AV,-122.404394388343,37.7392489238351,2008-01-26,23:00:00,82800,0
ASSAULT,THREATS AGAINST LIFE,Sunday,BAYVIEW,NONE,1700 Block of LA SALLE AV,-122.391434800433,37.7381270935013,2003-04-06,13:30:00,48600,0
VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,RICHMOND,NONE,6TH AV / GEARY BL,-122.464281231896,37.78101931601871,2007-12-28,02:20:00,8400,1
LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Saturday,NORTHERN,NONE,GEARY BL / LAGUNA ST,-122.427991151911,37.78495312416121,2014-11-29,16:00:00,57600,3
WARRANTS,WARRANT ARREST,Wednesday,TARAVAL,"ARREST, BOOKED",SLOAT BL / PORTOLA DR,-122.471569224175,37.7347048536654,2008-08-20,19:14:00,69240,1
VEHICLE THEFT,STOLEN TRUCK,Friday,SOUTHERN,NONE,400 Block of 9TH ST,-122.408856215814,37.771472746809394,2003-05-02,15:00:00,54000,3
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,NORTHERN,NONE,STEINER ST / PAGE ST,-122.432282489277,37.7728293793018,2006-12-01,11:00:00,39600,1
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Friday,MISSION,NONE,2400 Block of 24TH ST,-122.403898746367,37.7532041182306,2008-05-16,09:45:00,35100,0
NON-CRIMINAL,LOST PROPERTY,Thursday,MISSION,NONE,2300 Block of FOLSOM ST,-122.41469551481,37.7596861764245,2008-05-29,14:30:00,52200,0
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,SOUTHERN,NONE,300 Block of BEALE ST,-122.391985513707,37.788020382906296,2013-06-14,23:30:00,84600,3
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Tuesday,MISSION,"ARREST, BOOKED",2000 Block of MISSION ST,-122.41965834371,37.7642205603745,2003-05-27,10:35:00,38100,2
TRESPASS,TRESPASSING,Friday,MISSION,NONE,2300 Block of 16TH ST,-122.409529913278,37.7657184395282,2004-11-26,12:30:00,45000,3
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,TENDERLOIN,NONE,500 Block of OFARRELL ST,-122.413798415869,37.7856297942374,2014-04-28,02:58:00,10680,2
LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Monday,CENTRAL,NONE,300 Block of BEACH ST,-122.414822317443,37.8074314598723,2008-06-09,09:00:00,32400,2
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Monday,BAYVIEW,"ARREST, CITED",3800 Block of 3RD ST,-122.387939452192,37.7422600519555,2010-02-22,15:16:00,54960,0
SEX OFFENSES FORCIBLE,SEXUAL BATTERY,Monday,SOUTHERN,NONE,300 Block of CLEMENTINA ST,-122.40232147638,37.78203871461721,2007-10-01,12:00:00,43200,3
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Friday,SOUTHERN,NONE,0 Block of 6TH ST,-122.410041631816,37.78195365372571,2010-02-12,02:00:00,7200,2
WARRANTS,WARRANT ARREST,Thursday,TENDERLOIN,"ARREST, BOOKED",GOLDEN GATE AV / JONES ST,-122.412224164736,37.7820729312029,2006-06-15,08:28:00,30480,2
NON-CRIMINAL,LOST PROPERTY,Friday,SOUTHERN,NONE,SPEAR ST / MISSION ST,-122.394064716026,37.7925378174816,2005-01-28,18:00:00,64800,3
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Sunday,CENTRAL,NONE,1200 Block of COLUMBUS AV,-122.417768709913,37.80562245405221,2005-06-19,11:30:00,41400,3
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Tuesday,TARAVAL,NONE,100 Block of RANDOLPH ST,-122.463958201329,37.714242338502,2005-05-03,13:00:00,46800,1
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Saturday,TENDERLOIN,NONE,200 Block of JONES ST,-122.412436901867,37.7834857455601,2005-01-15,23:00:00,82800,3
MISSING PERSON,MISSING JUVENILE,Tuesday,BAYVIEW,LOCATED,700 Block of KIRKWOOD AV,-122.374019331833,37.729203356539,2005-03-08,17:30:00,63000,0
NON-CRIMINAL,LOST PROPERTY,Sunday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,2011-06-19,10:00:00,36000,2
DRUG/NARCOTIC,POSSESSION OF COCAINE,Friday,CENTRAL,"ARREST, BOOKED",500 Block of POST ST,-122.410882825551,37.787920937553295,2012-03-23,19:43:00,70980,3
NON-CRIMINAL,LOST PROPERTY,Tuesday,SOUTHERN,NONE,3RD ST / HOWARD ST,-122.400473580152,37.7850290611875,2006-05-16,20:00:00,72000,3
LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Monday,RICHMOND,NONE,CLAY ST / PRESIDIO AV,-122.447149277437,37.7890690756256,2008-03-31,21:30:00,77400,1
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,INGLESIDE,NONE,200 Block of FLOOD AV,-122.445452064292,37.7299495656106,2013-05-30,19:30:00,70200,1
ASSAULT,THREATENING PHONE CALL(S),Monday,PARK,NONE,0 Block of URANUS TR,-122.445506440102,37.7611919632466,2014-02-17,01:00:00,3600,2
BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Friday,INGLESIDE,NONE,0 Block of AGNON AV,-122.422361787802,37.7346634067521,2014-10-17,13:00:00,46800,0
FRAUD,"FORGERY, CREDIT CARD",Monday,INGLESIDE,NONE,600 Block of PRECITA AV,-122.408196138082,37.7480941047928,2011-10-03,12:00:00,43200,0
OTHER OFFENSES,RESISTING ARREST,Wednesday,BAYVIEW,"ARREST, BOOKED",3RD ST / CARROLL AV,-122.394243989335,37.7254774122794,2005-11-02,10:15:00,36900,0
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,MISSION,NONE,200 Block of SAN JOSE AV,-122.421583822353,37.7512286449279,2003-06-01,15:00:00,54000,0
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,NORTHERN,PSYCHOPATHIC CASE,700 Block of HAYES ST,-122.428760609879,37.7762012011279,2011-12-16,14:20:00,51600,3
OTHER OFFENSES,VIOLATION OF MUNICIPAL POLICE CODE,Wednesday,NORTHERN,"ARREST, BOOKED",1100 Block of LARKIN ST,-122.418580508889,37.7881906054546,2010-07-14,22:14:00,80040,3
FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD,Thursday,MISSION,NONE,2000 Block of MISSION ST,-122.41965834371,37.7642205603745,2013-10-17,11:00:00,39600,2
ASSAULT,BATTERY,Monday,TARAVAL,NONE,200 Block of GRANADA AV,-122.457235250338,37.7229939308537,2003-09-29,16:30:00,59400,1
NON-CRIMINAL,LOST PROPERTY,Tuesday,MISSION,NONE,2400 Block of MISSION ST,-122.419025267752,37.7576134671742,2003-08-05,10:30:00,37800,0
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,SOUTHERN,NONE,0 Block of 2ND ST,-122.400004792139,37.7882497881474,2003-06-27,04:00:00,14400,2
OTHER OFFENSES,CONTRIBUTING TO THE DELINQUENCY OF MINOR,Tuesday,PARK,"ARREST, CITED",700 Block of DIVISADERO ST,-122.437964085538,37.7764155489504,2005-06-14,17:28:00,62880,1
DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Saturday,SOUTHERN,"ARREST, BOOKED",900 Block of MARKET ST,-122.409536662692,37.78269112134721,2012-04-21,11:05:00,39900,3
ASSAULT,BATTERY,Tuesday,MISSION,NONE,FLORIDA ST / 24TH ST,-122.410067981394,37.7527378805766,2005-05-03,10:55:00,39300,0
ASSAULT,BATTERY,Tuesday,BAYVIEW,JUVENILE CITED,0 Block of CONKLING ST,-122.401968361773,37.7356138034783,2009-02-03,12:00:00,43200,0
OTHER OFFENSES,FALSE REPORT OF CRIME,Thursday,MISSION,"ARREST, BOOKED",2300 Block of 16TH ST,-122.409529913278,37.7657184395282,2009-08-20,02:15:00,8100,2
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Wednesday,MISSION,NONE,900 Block of SOUTH VAN NESS AV,-122.416725586439,37.7579542740829,2009-12-09,11:24:00,41040,0
ASSAULT,TRESPASS WITHIN 30 DAYS OF CREDIBLE THREAT,Wednesday,CENTRAL,"ARREST, BOOKED",300 Block of POWELL ST,-122.408384275542,37.7878271137225,2011-04-06,11:30:00,41400,3
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,SOUTHERN,"ARREST, CITED",MISSION ST / GRACE ST,-122.415487220744,37.7756059226244,2011-04-04,23:31:00,84660,3
WARRANTS,WARRANT ARREST,Monday,NORTHERN,"ARREST, BOOKED",2300 Block of CHESTNUT ST,-122.4420167856,37.80002781544521,2010-01-11,16:00:00,57600,1
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,NORTHERN,NONE,POST ST / STEINER ST,-122.434733246333,37.7849443169969,2014-10-28,18:46:00,67560,3
OTHER OFFENSES,PROBATION VIOLATION,Tuesday,TENDERLOIN,"ARREST, BOOKED",HYDE ST / ELLIS ST,-122.416075285051,37.78444966127911,2008-11-11,07:53:00,28380,2
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,INGLESIDE,NONE,5200 Block of MISSION ST,-122.442226397949,37.7150747131897,2004-07-21,16:50:00,60600,1
FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Tuesday,SOUTHERN,NOT PROSECUTED,700 Block of MARKET ST,-122.405294845215,37.7863072236365,2006-03-21,11:51:00,42660,3
DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN,NONE,0 Block of TURK ST,-122.409853729941,37.7833862379382,2011-02-08,07:30:00,27000,2
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,CENTRAL,NONE,200 Block of BROADWAY ST,-122.401640262351,37.7984492073309,2006-11-03,21:00:00,75600,3
NON-CRIMINAL,FOUND PROPERTY,Friday,BAYVIEW,NONE,1400 Block of PHELPS ST,-122.394438859914,37.73644389967321,2010-04-09,08:30:00,30600,0
VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,BAYVIEW,NONE,2000 Block of QUESADA AV,-122.397428247594,37.7366617429477,2005-11-03,07:00:00,25200,0
DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Thursday,SOUTHERN,"ARREST, BOOKED",TOWNSEND ST / 7TH ST,-122.401658145147,37.7718165835839,2008-01-10,00:09:00,540,2
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,INGLESIDE,"ARREST, CITED",SANTOS ST / BLYTHDALE AV,-122.418770479936,37.7107332124,2010-12-14,20:30:00,73800,0
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,INGLESIDE,NONE,5400 Block of MISSION ST,-122.444208684785,37.7130371761192,2015-03-04,14:30:00,52200,1
SUSPICIOUS OCC,SUSPICIOUS PERSON,Friday,NORTHERN,"ARREST, BOOKED",100 Block of CAPRA WY,-122.440359220401,37.8026160039686,2005-02-25,11:27:00,41220,1
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Monday,BAYVIEW,NONE,1400 Block of LASALLE AV,-122.386304220968,37.7349050342849,2006-06-12,16:36:00,59760,0
NON-CRIMINAL,LOST PROPERTY,Tuesday,CENTRAL,NONE,STOCKTON ST / PINE ST,-122.407342228747,37.791296451546,2005-07-26,06:00:00,21600,2
FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Monday,SOUTHERN,NONE,700 Block of MARKET ST,-122.403919148357,37.7871160984672,2007-01-08,00:01:00,60,2
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,SOUTHERN,NONE,MISSION ST / 8TH ST,-122.413160850977,37.7774566611578,2004-04-13,19:30:00,70200,3
NON-CRIMINAL,FOUND PROPERTY,Saturday,MISSION,NONE,4000 Block of 18TH ST,-122.434446928667,37.7608670671665,2011-04-23,02:20:00,8400,2
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Thursday,BAYVIEW,"ARREST, BOOKED",REVERE AV / 3RD ST,-122.391522893085,37.7324323864785,2004-12-23,18:59:00,68340,0
ASSAULT,INFLICT INJURY ON COHABITEE,Thursday,CENTRAL,"ARREST, BOOKED",1300 Block of POWELL ST,-122.410187476894,37.7966974812806,2008-04-03,09:50:00,35400,2
VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,INGLESIDE,NONE,0 Block of OTTAWA AV,-122.44535757586,37.7148371012627,2004-02-17,21:00:00,75600,1
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,TARAVAL,"ARREST, CITED",0 Block of CASTENADA AV,-122.461889162968,37.7496268026145,2008-04-28,22:50:00,82200,1
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Wednesday,SOUTHERN,NONE,MARKET ST / DAVIS ST,-122.397387796134,37.79240473193961,2004-03-17,16:19:00,58740,3
VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,BAYVIEW,NONE,700 Block of FITCH ST,-122.372571530798,37.73230293783379,2007-11-04,18:00:00,64800,0
SECONDARY CODES,DOMESTIC VIOLENCE,Friday,INGLESIDE,"ARREST, BOOKED",100 Block of RAE AV,-122.449432129812,37.711088010346,2010-07-02,23:33:00,84780,1
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,INGLESIDE,NONE,600 Block of PARIS ST,-122.437324443492,37.7184664680978,2003-04-15,06:00:00,21600,1
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,MISSION,NONE,300 Block of CASELLI AV,-122.44401541303002,37.758824545117,2009-04-15,02:00:00,7200,2
OTHER OFFENSES,PAROLE VIOLATION,Sunday,BAYVIEW,"ARREST, BOOKED",1700 Block of 25TH ST,-122.396045126722,37.7523940273841,2012-12-30,01:58:00,7080,2
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,CENTRAL,NONE,300 Block of BUSH ST,-122.403208277822,37.7908083300178,2009-04-13,13:00:00,46800,3
VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,BAYVIEW,NONE,0 Block of KAREN CT,-122.40608316464198,37.7236358541627,2004-06-11,20:30:00,73800,0
OTHER OFFENSES,RESTRAINING ORDER NOTIFICATION/SERVICE OF RESTRAINING ORDER,Friday,NORTHERN,NONE,400 Block of DUBOCE AV,-122.430796404596,37.7693018391199,2012-07-27,16:45:00,60300,1
VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,TARAVAL,NONE,CAPITOL AV / FARALLONES ST,-122.459033097784,37.7140562686562,2004-12-25,18:00:00,64800,1
NON-CRIMINAL,LOST PROPERTY,Tuesday,PARK,NONE,100 Block of BEULAH ST,-122.452331290923,37.7673561058524,2014-01-07,11:00:00,39600,1
